"variable","value","quarter0","quarter1","product"
"GEKST_exit_ln",0.0963712030416422,2020-06-01,2020-09-01,"digitalcameras"
"GEKST_quality_ln",0.0784980570556213,2020-06-01,2020-09-01,"digitalcameras"
"expshare_matched0",0.970796464977647,2020-09-01,2020-12-01,"digitalcameras"
"expshare_matched1",0.873642874240176,2020-09-01,2020-12-01,"digitalcameras"
"expshare_disappearing0",0.0292035350223534,2020-09-01,2020-12-01,"digitalcameras"
"expshare_new1",0.126357125759825,2020-09-01,2020-12-01,"digitalcameras"
"MMT_price_ln",-0.0500080888405841,2020-09-01,2020-12-01,"digitalcameras"
"MMT_comp_ln",-0.0338366932086957,2020-09-01,2020-12-01,"digitalcameras"
"MMT_entry_ln",0.0693275877451374,2020-09-01,2020-12-01,"digitalcameras"
"MMT_exit_ln",0.0161636474656488,2020-09-01,2020-12-01,"digitalcameras"
"MMT_quality_ln",0.0193272470707929,2020-09-01,2020-12-01,"digitalcameras"
"TPD_price_ln",-0.0457523450529049,2020-09-01,2020-12-01,"digitalcameras"
"TPD_entry_ln",0.449724342393999,2020-09-01,2020-12-01,"digitalcameras"
"TPD_exit_ln",0.105414957914107,2020-09-01,2020-12-01,"digitalcameras"
"TPD_comp_ln",-0.329237881196778,2020-09-01,2020-12-01,"digitalcameras"
"TPD_quality_ln",0.0150715032831136,2020-09-01,2020-12-01,"digitalcameras"
"cewgmp_ln",-0.0306808417697925,2020-09-01,2020-12-01,"digitalcameras"
"GEKST_price_ln",-0.050730592282618,2020-09-01,2020-12-01,"digitalcameras"
"GEKST_comp_ln",-0.0295926907423491,2020-09-01,2020-12-01,"digitalcameras"
"GEKST_entry_ln",0.108038722033348,2020-09-01,2020-12-01,"digitalcameras"
"GEKST_exit_ln",0.0583962807781718,2020-09-01,2020-12-01,"digitalcameras"
"GEKST_quality_ln",0.0200497505128268,2020-09-01,2020-12-01,"digitalcameras"
"expshare_matched0",0.987556899443372,2020-12-01,2021-03-01,"digitalcameras"
"expshare_matched1",0.980770839876555,2020-12-01,2021-03-01,"digitalcameras"
"expshare_disappearing0",0.0124431005566276,2020-12-01,2021-03-01,"digitalcameras"
"expshare_new1",0.0192291601234453,2020-12-01,2021-03-01,"digitalcameras"
"MMT_price_ln",0.00839210282164896,2020-12-01,2021-03-01,"digitalcameras"
"MMT_comp_ln",0.0364931139805049,2020-12-01,2021-03-01,"digitalcameras"
"MMT_entry_ln",0.0256032781481377,2020-12-01,2021-03-01,"digitalcameras"
"MMT_exit_ln",0.00803204389478118,2020-12-01,2021-03-01,"digitalcameras"
"MMT_quality_ln",0.0540643482338614,2020-12-01,2021-03-01,"digitalcameras"
"TPD_price_ln",0.0136133315457813,2020-12-01,2021-03-01,"digitalcameras"
"TPD_entry_ln",0.0845926505465444,2020-12-01,2021-03-01,"digitalcameras"
"TPD_exit_ln",0.0459166426264188,2020-12-01,2021-03-01,"digitalcameras"
"TPD_comp_ln",0.0101671115896039,2020-12-01,2021-03-01,"digitalcameras"
"TPD_quality_ln",0.0488431195097295,2020-12-01,2021-03-01,"digitalcameras"
"cewgmp_ln",0.0624564510555094,2020-12-01,2021-03-01,"digitalcameras"
"GEKST_price_ln",0.00834607130567635,2020-12-01,2021-03-01,"digitalcameras"
"GEKST_comp_ln",0.0163800419182612,2020-12-01,2021-03-01,"digitalcameras"
"GEKST_entry_ln",0.0873720180924382,2020-12-01,2021-03-01,"digitalcameras"
"GEKST_exit_ln",0.0496416802608652,2020-12-01,2021-03-01,"digitalcameras"
"GEKST_quality_ln",0.0541103797498342,2020-12-01,2021-03-01,"digitalcameras"
"expshare_matched0",0.984351506668783,2021-03-01,2021-06-01,"digitalcameras"
"expshare_matched1",0.994521740790851,2021-03-01,2021-06-01,"digitalcameras"
"expshare_disappearing0",0.015648493331217,2021-03-01,2021-06-01,"digitalcameras"
"expshare_new1",0.00547825920914934,2021-03-01,2021-06-01,"digitalcameras"
"MMT_price_ln",0.00806221848489247,2021-03-01,2021-06-01,"digitalcameras"
"MMT_comp_ln",0.00185500694930688,2021-03-01,2021-06-01,"digitalcameras"
"MMT_entry_ln",0.00291092527365056,2021-03-01,2021-06-01,"digitalcameras"
"MMT_exit_ln",0.00687444882281874,2021-03-01,2021-06-01,"digitalcameras"
"MMT_quality_ln",-0.0021085165998613,2021-03-01,2021-06-01,"digitalcameras"
"TPD_price_ln",0.0116912006748097,2021-03-01,2021-06-01,"digitalcameras"
"TPD_entry_ln",0.01988012089708,2021-03-01,2021-06-01,"digitalcameras"
"TPD_exit_ln",0.0560256283948557,2021-03-01,2021-06-01,"digitalcameras"
"TPD_comp_ln",0.0304080087079961,2021-03-01,2021-06-01,"digitalcameras"
"TPD_quality_ln",-0.00573749878977957,2021-03-01,2021-06-01,"digitalcameras"
"cewgmp_ln",0.00595370188503206,2021-03-01,2021-06-01,"digitalcameras"
"GEKST_price_ln",0.0172402753315112,2021-03-01,2021-06-01,"digitalcameras"
"GEKST_comp_ln",-0.00717019280776077,2021-03-01,2021-06-01,"digitalcameras"
"GEKST_entry_ln",0.0560021583928703,2021-03-01,2021-06-01,"digitalcameras"
"GEKST_exit_ln",0.0601185390315896,2021-03-01,2021-06-01,"digitalcameras"
"GEKST_quality_ln",-0.01128657344648,2021-03-01,2021-06-01,"digitalcameras"
"expshare_matched0",0.979282887330249,2021-06-01,2021-09-01,"digitalcameras"
"expshare_matched1",0.981408596023477,2021-06-01,2021-09-01,"digitalcameras"
"expshare_disappearing0",0.0207171126697513,2021-06-01,2021-09-01,"digitalcameras"
"expshare_new1",0.018591403976523,2021-06-01,2021-09-01,"digitalcameras"
"MMT_price_ln",0.0180642963632109,2021-06-01,2021-09-01,"digitalcameras"
"MMT_comp_ln",-0.0378758518818604,2021-06-01,2021-09-01,"digitalcameras"
"MMT_entry_ln",0.00431618925757071,2021-06-01,2021-09-01,"digitalcameras"
"MMT_exit_ln",0.0117344700387632,2021-06-01,2021-09-01,"digitalcameras"
"MMT_quality_ln",-0.0452941326630528,2021-06-01,2021-09-01,"digitalcameras"
"TPD_price_ln",0.0268639434502803,2021-06-01,2021-09-01,"digitalcameras"
"TPD_entry_ln",0.0608283578929765,2021-06-01,2021-09-01,"digitalcameras"
"TPD_exit_ln",0.0760899962606199,2021-06-01,2021-09-01,"digitalcameras"
"TPD_comp_ln",-0.0388321413824795,2021-06-01,2021-09-01,"digitalcameras"
"TPD_quality_ln",-0.0540937797501229,2021-06-01,2021-09-01,"digitalcameras"
"cewgmp_ln",-0.0272298362998421,2021-06-01,2021-09-01,"digitalcameras"
"GEKST_price_ln",0.0165249874941618,2021-06-01,2021-09-01,"digitalcameras"
"GEKST_comp_ln",-0.0363613988213239,2021-06-01,2021-09-01,"digitalcameras"
"GEKST_entry_ln",0.0504491211957498,2021-06-01,2021-09-01,"digitalcameras"
"GEKST_exit_ln",0.0578425461684304,2021-06-01,2021-09-01,"digitalcameras"
"GEKST_quality_ln",-0.0437548237940045,2021-06-01,2021-09-01,"digitalcameras"
"expshare_matched0",0.98587305841152,2021-09-01,2021-12-01,"digitalcameras"
"expshare_matched1",0.966124920647671,2021-09-01,2021-12-01,"digitalcameras"
"expshare_disappearing0",0.0141269415884804,2021-09-01,2021-12-01,"digitalcameras"
"expshare_new1",0.0338750793523291,2021-09-01,2021-12-01,"digitalcameras"
"MMT_price_ln",-0.0119236950817656,2021-09-01,2021-12-01,"digitalcameras"
"MMT_comp_ln",0.0175506112401903,2021-09-01,2021-12-01,"digitalcameras"
"MMT_entry_ln",0.0270610492867913,2021-09-01,2021-12-01,"digitalcameras"
"MMT_exit_ln",0.00338649986292161,2021-09-01,2021-12-01,"digitalcameras"
"MMT_quality_ln",0.0412251606640601,2021-09-01,2021-12-01,"digitalcameras"
"TPD_price_ln",-0.00395898372394188,2021-09-01,2021-12-01,"digitalcameras"
"TPD_entry_ln",0.13017328782987,2021-09-01,2021-12-01,"digitalcameras"
"TPD_exit_ln",0.0474681750510237,2021-09-01,2021-12-01,"digitalcameras"
"TPD_comp_ln",-0.0494446634726089,2021-09-01,2021-12-01,"digitalcameras"
"TPD_quality_ln",0.0332604493062376,2021-09-01,2021-12-01,"digitalcameras"
"cewgmp_ln",0.0293014655822947,2021-09-01,2021-12-01,"digitalcameras"
"GEKST_price_ln",-0.00247376901526928,2021-09-01,2021-12-01,"digitalcameras"
"GEKST_comp_ln",-0.0263867228979583,2021-09-01,2021-12-01,"digitalcameras"
"GEKST_entry_ln",0.0912492669824667,2021-09-01,2021-12-01,"digitalcameras"
"GEKST_exit_ln",0.0330873094869433,2021-09-01,2021-12-01,"digitalcameras"
"GEKST_quality_ln",0.0317752345975651,2021-09-01,2021-12-01,"digitalcameras"
"expshare_matched0",0.995220103841165,2021-12-01,2022-03-01,"digitalcameras"
"expshare_matched1",0.985308283049108,2021-12-01,2022-03-01,"digitalcameras"
"expshare_disappearing0",0.00477989615883501,2021-12-01,2022-03-01,"digitalcameras"
"expshare_new1",0.0146917169508918,2021-12-01,2022-03-01,"digitalcameras"
"MMT_price_ln",0.0350149445669858,2021-12-01,2022-03-01,"digitalcameras"
"MMT_comp_ln",0.0623906009539874,2021-12-01,2022-03-01,"digitalcameras"
"MMT_entry_ln",0.00616732345101667,2021-12-01,2022-03-01,"digitalcameras"
"MMT_exit_ln",0.00209704640411879,2021-12-01,2022-03-01,"digitalcameras"
"MMT_quality_ln",0.0664608780008853,2021-12-01,2022-03-01,"digitalcameras"
